pr1,pr2,shared_files,total_files_pr1,total_files_pr2,overlap_pct_pr1,overlap_pct_pr2
149,148,0,1,2,0.0,0.0
149,145,0,1,33,0.0,0.0
149,143,0,1,6,0.0,0.0
149,142,0,1,2,0.0,0.0
149,141,0,1,1,0.0,0.0
149,140,0,1,7,0.0,0.0
149,139,0,1,3,0.0,0.0
149,138,0,1,6,0.0,0.0
149,137,0,1,10,0.0,0.0
149,136,0,1,7,0.0,0.0
149,135,0,1,3,0.0,0.0
149,134,0,1,3,0.0,0.0
149,133,0,1,2,0.0,0.0
149,132,0,1,1,0.0,0.0
149,131,0,1,6,0.0,0.0
149,130,0,1,7,0.0,0.0
149,129,0,1,5,0.0,0.0
149,128,0,1,1,0.0,0.0
149,126,0,1,7,0.0,0.0
149,125,0,1,1,0.0,0.0
148,145,0,2,33,0.0,0.0
148,143,0,2,6,0.0,0.0
148,142,0,2,2,0.0,0.0
148,141,0,2,1,0.0,0.0
148,140,0,2,7,0.0,0.0
148,139,0,2,3,0.0,0.0
148,138,0,2,6,0.0,0.0
148,137,0,2,10,0.0,0.0
148,136,0,2,7,0.0,0.0
148,135,0,2,3,0.0,0.0
148,134,0,2,3,0.0,0.0
148,133,0,2,2,0.0,0.0
148,132,0,2,1,0.0,0.0
148,131,0,2,6,0.0,0.0
148,130,0,2,7,0.0,0.0
148,129,0,2,5,0.0,0.0
148,128,0,2,1,0.0,0.0
148,126,0,2,7,0.0,0.0
148,125,0,2,1,0.0,0.0
145,143,0,33,6,0.0,0.0
145,142,0,33,2,0.0,0.0
145,141,0,33,1,0.0,0.0
145,140,0,33,7,0.0,0.0
145,139,0,33,3,0.0,0.0
145,138,0,33,6,0.0,0.0
145,137,0,33,10,0.0,0.0
145,136,0,33,7,0.0,0.0
145,135,0,33,3,0.0,0.0
145,134,0,33,3,0.0,0.0
145,133,0,33,2,0.0,0.0
145,132,0,33,1,0.0,0.0
145,131,0,33,6,0.0,0.0
145,130,0,33,7,0.0,0.0
145,129,0,33,5,0.0,0.0
145,128,0,33,1,0.0,0.0
145,126,0,33,7,0.0,0.0
145,125,0,33,1,0.0,0.0
143,142,0,6,2,0.0,0.0
143,141,0,6,1,0.0,0.0
143,140,0,6,7,0.0,0.0
143,139,0,6,3,0.0,0.0
143,138,0,6,6,0.0,0.0
143,137,0,6,10,0.0,0.0
143,136,0,6,7,0.0,0.0
143,135,0,6,3,0.0,0.0
143,134,0,6,3,0.0,0.0
143,133,0,6,2,0.0,0.0
143,132,0,6,1,0.0,0.0
143,131,0,6,6,0.0,0.0
143,130,0,6,7,0.0,0.0
143,129,0,6,5,0.0,0.0
143,128,0,6,1,0.0,0.0
143,126,0,6,7,0.0,0.0
143,125,0,6,1,0.0,0.0
142,141,0,2,1,0.0,0.0
142,140,0,2,7,0.0,0.0
142,139,0,2,3,0.0,0.0
142,138,0,2,6,0.0,0.0
142,137,0,2,10,0.0,0.0
142,136,0,2,7,0.0,0.0
142,135,1,2,3,50.0,33.33
142,134,0,2,3,0.0,0.0
142,133,1,2,2,50.0,50.0
142,132,0,2,1,0.0,0.0
142,131,0,2,6,0.0,0.0
142,130,1,2,7,50.0,14.29
142,129,0,2,5,0.0,0.0
142,128,0,2,1,0.0,0.0
142,126,0,2,7,0.0,0.0
142,125,1,2,1,50.0,100.0
141,140,0,1,7,0.0,0.0
141,139,0,1,3,0.0,0.0
141,138,0,1,6,0.0,0.0
141,137,0,1,10,0.0,0.0
141,136,0,1,7,0.0,0.0
141,135,0,1,3,0.0,0.0
141,134,1,1,3,100.0,33.33
141,133,0,1,2,0.0,0.0
141,132,0,1,1,0.0,0.0
141,131,0,1,6,0.0,0.0
141,130,0,1,7,0.0,0.0
141,129,0,1,5,0.0,0.0
141,128,0,1,1,0.0,0.0
141,126,0,1,7,0.0,0.0
141,125,0,1,1,0.0,0.0
140,139,0,7,3,0.0,0.0
140,138,3,7,6,42.86,50.0
140,137,2,7,10,28.57,20.0
140,136,2,7,7,28.57,28.57
140,135,1,7,3,14.29,33.33
140,134,1,7,3,14.29,33.33
140,133,0,7,2,0.0,0.0
140,132,0,7,1,0.0,0.0
140,131,1,7,6,14.29,16.67
140,130,1,7,7,14.29,14.29
140,129,1,7,5,14.29,20.0
140,128,0,7,1,0.0,0.0
140,126,3,7,7,42.86,42.86
140,125,0,7,1,0.0,0.0
139,138,0,3,6,0.0,0.0
139,137,0,3,10,0.0,0.0
139,136,0,3,7,0.0,0.0
139,135,0,3,3,0.0,0.0
139,134,0,3,3,0.0,0.0
139,133,0,3,2,0.0,0.0
139,132,0,3,1,0.0,0.0
139,131,0,3,6,0.0,0.0
139,130,0,3,7,0.0,0.0
139,129,1,3,5,33.33,20.0
139,128,0,3,1,0.0,0.0
139,126,0,3,7,0.0,0.0
139,125,0,3,1,0.0,0.0
138,137,3,6,10,50.0,30.0
138,136,2,6,7,33.33,28.57
138,135,0,6,3,0.0,0.0
138,134,1,6,3,16.67,33.33
138,133,0,6,2,0.0,0.0
138,132,0,6,1,0.0,0.0
138,131,1,6,6,16.67,16.67
138,130,1,6,7,16.67,14.29
138,129,0,6,5,0.0,0.0
138,128,0,6,1,0.0,0.0
138,126,2,6,7,33.33,28.57
138,125,0,6,1,0.0,0.0
137,136,2,10,7,20.0,28.57
137,135,0,10,3,0.0,0.0
137,134,0,10,3,0.0,0.0
137,133,0,10,2,0.0,0.0
137,132,0,10,1,0.0,0.0
137,131,1,10,6,10.0,16.67
137,130,1,10,7,10.0,14.29
137,129,0,10,5,0.0,0.0
137,128,0,10,1,0.0,0.0
137,126,1,10,7,10.0,14.29
137,125,0,10,1,0.0,0.0
136,135,0,7,3,0.0,0.0
136,134,0,7,3,0.0,0.0
136,133,0,7,2,0.0,0.0
136,132,0,7,1,0.0,0.0
136,131,0,7,6,0.0,0.0
136,130,1,7,7,14.29,14.29
136,129,0,7,5,0.0,0.0
136,128,0,7,1,0.0,0.0
136,126,1,7,7,14.29,14.29
136,125,0,7,1,0.0,0.0
135,134,0,3,3,0.0,0.0
135,133,1,3,2,33.33,50.0
135,132,0,3,1,0.0,0.0
135,131,2,3,6,66.67,33.33
135,130,1,3,7,33.33,14.29
135,129,1,3,5,33.33,20.0
135,128,0,3,1,0.0,0.0
135,126,0,3,7,0.0,0.0
135,125,0,3,1,0.0,0.0
134,133,1,3,2,33.33,50.0
134,132,0,3,1,0.0,0.0
134,131,0,3,6,0.0,0.0
134,130,0,3,7,0.0,0.0
134,129,0,3,5,0.0,0.0
134,128,0,3,1,0.0,0.0
134,126,0,3,7,0.0,0.0
134,125,0,3,1,0.0,0.0
133,132,0,2,1,0.0,0.0
133,131,0,2,6,0.0,0.0
133,130,1,2,7,50.0,14.29
133,129,0,2,5,0.0,0.0
133,128,0,2,1,0.0,0.0
133,126,0,2,7,0.0,0.0
133,125,0,2,1,0.0,0.0
132,131,0,1,6,0.0,0.0
132,130,0,1,7,0.0,0.0
132,129,0,1,5,0.0,0.0
132,128,0,1,1,0.0,0.0
132,126,0,1,7,0.0,0.0
132,125,0,1,1,0.0,0.0
131,130,0,6,7,0.0,0.0
131,129,2,6,5,33.33,40.0
131,128,0,6,1,0.0,0.0
131,126,0,6,7,0.0,0.0
131,125,0,6,1,0.0,0.0
130,129,0,7,5,0.0,0.0
130,128,0,7,1,0.0,0.0
130,126,0,7,7,0.0,0.0
130,125,0,7,1,0.0,0.0
129,128,0,5,1,0.0,0.0
129,126,0,5,7,0.0,0.0
129,125,0,5,1,0.0,0.0
128,126,0,1,7,0.0,0.0
128,125,0,1,1,0.0,0.0
126,125,0,7,1,0.0,0.0
