url,domain,method,tier,success,quality_score,timing_ms,content_length,markdown_length,image_count,has_structured_data,error
https://bringatrailer.com/listing/1988-porsche-911-carrera-targa-50/,bringatrailer.com,naive_fetch,basic,1,100,517,449804,177244,71,1,
https://bringatrailer.com/listing/1988-porsche-911-carrera-targa-50/,bringatrailer.com,playwright,compute,1,100,5878,685289,11622,133,1,
https://www.carsandbids.com/auctions/rlYwNdkZ/2011-mercedes-benz-e63-amg-wagon,www.carsandbids.com,naive_fetch,basic,0,0,791,0,0,0,0,HTTP 403
https://www.carsandbids.com/auctions/rlYwNdkZ/2011-mercedes-benz-e63-amg-wagon,www.carsandbids.com,playwright,compute,1,44,7811,41779,900,2,0,
https://www.hemmings.com/classifieds/dealer/chevrolet/c10/2729389.html,www.hemmings.com,naive_fetch,basic,0,0,307,0,0,0,0,HTTP 403
https://www.hemmings.com/classifieds/dealer/chevrolet/c10/2729389.html,www.hemmings.com,playwright,compute,1,84,9955,1352850,10280,37,1,
https://www.streetsideclassics.com/vehicles/1234-cha/1969-chevrolet-camaro,www.streetsideclassics.com,naive_fetch,basic,0,0,410,0,0,0,0,HTTP 404
https://www.streetsideclassics.com/vehicles/1234-cha/1969-chevrolet-camaro,www.streetsideclassics.com,playwright,compute,1,33,4910,133656,695,8,0,
https://www.dupontregistry.com/autos/listing/2024/porsche/911/4016155,www.dupontregistry.com,naive_fetch,basic,1,67,984,177042,122526,10,0,
https://www.dupontregistry.com/autos/listing/2024/porsche/911/4016155,www.dupontregistry.com,playwright,compute,1,47,6131,209745,779,6,0,
https://www.classicdriver.com/en/car/porsche/911/1973/1023456,www.classicdriver.com,naive_fetch,basic,0,0,967,0,0,0,0,HTTP 404
https://www.classicdriver.com/en/car/porsche/911/1973/1023456,www.classicdriver.com,playwright,compute,0,0,5131,39,0,0,0,Insufficient content extracted
https://rfrm.com/inventory/,rfrm.com,naive_fetch,basic,0,0,251,114,0,0,0,Failed to extract content
https://rfrm.com/inventory/,rfrm.com,playwright,compute,1,34,4286,171388,194,1,0,
https://www.pcarmarket.com/auction/1990-porsche-964-c4-cabriolet/,www.pcarmarket.com,naive_fetch,basic,1,37,230,4663,1344,0,0,
https://www.pcarmarket.com/auction/1990-porsche-964-c4-cabriolet/,www.pcarmarket.com,playwright,compute,1,32,4637,26260,437,2,0,
https://collectingcars.com/for-sale/1989-porsche-911-carrera-3-2-targa-g50,collectingcars.com,naive_fetch,basic,0,0,198,0,0,0,0,HTTP 403
https://collectingcars.com/for-sale/1989-porsche-911-carrera-3-2-targa-g50,collectingcars.com,playwright,compute,1,82,6329,487383,8527,340,0,
https://bringatrailer.com/listing/1973-porsche-911t-targa-3/,bringatrailer.com,naive_fetch,basic,1,59,1338,91682,11823,2,0,
https://bringatrailer.com/listing/1973-porsche-911t-targa-3/,bringatrailer.com,playwright,compute,1,44,8515,144361,1747,2,0,
https://bringatrailer.com/listing/1967-chevrolet-c10/,bringatrailer.com,naive_fetch,basic,1,59,855,91682,11823,2,0,
https://bringatrailer.com/listing/1967-chevrolet-c10/,bringatrailer.com,playwright,compute,1,44,8938,144352,1747,2,0,
https://www.carsandbids.com/auctions/,www.carsandbids.com,naive_fetch,basic,0,0,294,0,0,0,0,HTTP 403
