label,status,start_year,end_year,start_decade,country,types,alt_labels,wikidata_id,wikidata_url,official_website,commons_logo_filename,commons_logo_file_page,commons_logo_download_url,logo_thumb_url
Barker & Co,defunct,1710,1938,1710s,United Kingdom,automobile manufacturer,Barker & Co.,Q4860939,http://www.wikidata.org/entity/Q4860939,,,,,
MAN SE,defunct,1758,2021,1750s,Germany,automobile manufacturer,MAN SE;Maschinenfabrik Augsburg-Nuernberg,Q35953,http://www.wikidata.org/entity/Q35953,https://www.mantruckandbus.com/en/man.html,Logo MAN.png,https://commons.wikimedia.org/wiki/File:Logo_MAN.png,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_MAN.png,https://commons.wikimedia.org/wiki/Special:FilePath/Logo_MAN.png?width=128
Q16831389,defunct,1758,1947,1750s,,automobile manufacturer,,Q16831389,http://www.wikidata.org/entity/Q16831389,,,,,
Arthur Mulliner,defunct,1760,1976,1760s,,automobile manufacturer,,Q16998266,http://www.wikidata.org/entity/Q16998266,,,,,
J. van den Berg,defunct,1795,1930,1790s,Netherlands,automobile manufacturer,J.J. van den Bergh;J.J. van den Bergh & zonen,Q109940368,http://www.wikidata.org/entity/Q109940368,,,,,
Morgan & Company,defunct,1795,1929,1790s,,automobile manufacturer,,Q1947597,http://www.wikidata.org/entity/Q1947597,,,,,
Bentall vehicles,defunct,1805,1984,1800s,United Kingdom,automobile manufacturer,Bentall,Q818212,http://www.wikidata.org/entity/Q818212,,,,,
Q2730250,defunct,1805,1918,1800s,,automobile manufacturer,,Q2730250,http://www.wikidata.org/entity/Q2730250,,,,,
Napier & Son,defunct,1808,1961,1800s,United Kingdom,automobile manufacturer,Napier and Son;D. Napier & Son;D. Napier and Son,Q1964916,http://www.wikidata.org/entity/Q1964916,http://www.napier-turbochargers.com/,1909 Napier T23 Roadster 6.6 ltr IMG 2868 - Flickr - nemor2.jpg,https://commons.wikimedia.org/wiki/File:1909_Napier_T23_Roadster_6.6_ltr_IMG_2868_-_Flickr_-_nemor2.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/1909_Napier_T23_Roadster_6.6_ltr_IMG_2868_-_Flickr_-_nemor2.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/1909_Napier_T23_Roadster_6.6_ltr_IMG_2868_-_Flickr_-_nemor2.jpg?width=128
Mauser,defunct,1811,2000,1810s,Germany,motorcycle manufacturer;automobile manufacturer,Waffenfabrik Mauser,Q166203,http://www.wikidata.org/entity/Q166203,https://www.mauser.com/,,,,
Mercedes-AMG,active,1812,,1810s,Germany,automobile manufacturer,Mercedes-AMG GmbH;AMG,Q26966,http://www.wikidata.org/entity/Q26966,http://www.mercedes-amg.com/,Amgdp 4c p s.jpg,https://commons.wikimedia.org/wiki/File:Amgdp_4c_p_s.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Amgdp_4c_p_s.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Amgdp_4c_p_s.jpg?width=128
Q1795789,defunct,1827,1983,1820s,Germany,automobile manufacturer,,Q1795789,http://www.wikidata.org/entity/Q1795789,,,,,
Q107406117,defunct,1829,1954,1820s,Netherlands,automobile manufacturer,,Q107406117,http://www.wikidata.org/entity/Q107406117,,,,,
Buffaud & Robatel,active,1830,,1830s,France,automobile manufacturer,,Q1002112,http://www.wikidata.org/entity/Q1002112,,,,,
Autosan,active,1832,,1830s,Poland,automobile manufacturer,Autosan S.A.,Q48593,http://www.wikidata.org/entity/Q48593,https://autosan.pl/,AutosanLogo.svg,https://commons.wikimedia.org/wiki/File:AutosanLogo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/AutosanLogo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/AutosanLogo.svg?width=128
Kühlstein,defunct,1833,1926,1830s,Germany,automobile manufacturer,,Q1328997,http://www.wikidata.org/entity/Q1328997,,,,,
Diatto,defunct,1835,1955,1830s,Italy,automobile manufacturer,,Q1209227,http://www.wikidata.org/entity/Q1209227,http://www.diatto.it/,Emblem Diatto.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Diatto.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Diatto.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Diatto.JPG?width=128
Felber Frères,defunct,1835,1931,1830s,,automobile manufacturer,,Q107301502,http://www.wikidata.org/entity/Q107301502,,,,,
Ingenhoes-Buitenweg,defunct,1837,1926,1830s,Netherlands,automobile manufacturer,Ingenhoes,Q107284795,http://www.wikidata.org/entity/Q107284795,,,,,
Thames Ironworks and Shipbuilding Company,defunct,1837,1912,1830s,United Kingdom,automobile manufacturer,Thames Iron Works,Q1289733,http://www.wikidata.org/entity/Q1289733,,,,,
Wayne Corporation,defunct,1837,1995,1830s,,automobile manufacturer,,Q7976126,http://www.wikidata.org/entity/Q7976126,,"Wayne Corporation Logo, January 1989.svg",https://commons.wikimedia.org/wiki/File:Wayne_Corporation_Logo%2C_January_1989.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Wayne_Corporation_Logo%2C_January_1989.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Wayne_Corporation_Logo%2C_January_1989.svg?width=128
William Beardmore and Company,defunct,1837,1983,1830s,United Kingdom,automobile manufacturer,W. Beardmore,Q623503,http://www.wikidata.org/entity/Q623503,,Beardmore advertisement Brasseys 1923.jpg,https://commons.wikimedia.org/wiki/File:Beardmore_advertisement_Brasseys_1923.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Beardmore_advertisement_Brasseys_1923.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Beardmore_advertisement_Brasseys_1923.jpg?width=128
"James Cunningham, Son and Company",defunct,1838,1937,1830s,United States,automobile manufacturer,"James Cunningham, Son and Co.",Q6132033,http://www.wikidata.org/entity/Q6132033,,Cunningham Car Company Logo.jpg,https://commons.wikimedia.org/wiki/File:Cunningham_Car_Company_Logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cunningham_Car_Company_Logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cunningham_Car_Company_Logo.jpg?width=128
Joseph Rothschild & Fils,defunct,1840,1930,1840s,,automobile manufacturer,Rothschild and Sons (coachbuilders),Q48180591,http://www.wikidata.org/entity/Q48180591,,,,,
Veth Automotive,active,1840,,1840s,Netherlands,automobile manufacturer,Veth & Zoon;B. Veth,Q14513941,http://www.wikidata.org/entity/Q14513941,https://vethautomotive.com/,,,,
M.L. Hermans & Co,defunct,1841,1927,1840s,Netherlands,automobile manufacturer,,Q110084942,http://www.wikidata.org/entity/Q110084942,,,,,
Teste & Moret vehicles,active,1843,,1840s,,automobile manufacturer,,Q2406431,http://www.wikidata.org/entity/Q2406431,,,,,
Q41436999,active,1844,,1840s,,automobile manufacturer,,Q41436999,http://www.wikidata.org/entity/Q41436999,,,,,
Q1714491,defunct,1845,1919,1840s,,automobile manufacturer,,Q1714491,http://www.wikidata.org/entity/Q1714491,,Feuerwehr Dillingen 150Jahre (9).jpg,https://commons.wikimedia.org/wiki/File:Feuerwehr_Dillingen_150Jahre_%289%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Feuerwehr_Dillingen_150Jahre_%289%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Feuerwehr_Dillingen_150Jahre_%289%29.jpg?width=128
Armstrong Whitworth,defunct,1847,1927,1840s,United Kingdom,automobile manufacturer,"Sir W G Armstrong Whitworth & Co Ltd;Armstrong-Whitworth;Armstrong, Whitworth & Co Ltd",Q689159,http://www.wikidata.org/entity/Q689159,,,,,
C P Kimball & Company,defunct,1847,1929,1840s,,automobile manufacturer,,Q55692070,http://www.wikidata.org/entity/Q55692070,,,,,
La Buire,defunct,1847,1930,1840s,,automobile manufacturer,,Q1453054,http://www.wikidata.org/entity/Q1453054,,,,,
Milburn Electric Vehicles,active,1848,,1840s,United States,automobile manufacturer,,Q57539548,http://www.wikidata.org/entity/Q57539548,,,,,
Nichols and Shepard,defunct,1848,1929,1840s,,automobile manufacturer,,Q7026578,http://www.wikidata.org/entity/Q7026578,,,,,
Crane & Breed,defunct,1850,1924,1850s,United States,automobile manufacturer,,Q5181985,http://www.wikidata.org/entity/Q5181985,,,,,
Q28225611,active,1850,,1850s,,automobile manufacturer,,Q28225611,http://www.wikidata.org/entity/Q28225611,,,,,
Saroléa,defunct,1850,1963,1850s,Belgium,motorcycle manufacturer;automobile manufacturer,Sarolea,Q1472985,http://www.wikidata.org/entity/Q1472985,,,,,
Vermorel,defunct,1850,1965,1850s,,automobile manufacturer,,Q2517107,http://www.wikidata.org/entity/Q2517107,,Emblem Vermorel.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Vermorel.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Vermorel.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Vermorel.JPG?width=128
Mors,defunct,1851,1943,1850s,France,automobile manufacturer,,Q651443,http://www.wikidata.org/entity/Q651443,,Emblem Mors.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Mors.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Mors.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Mors.JPG?width=128
Carrosseries Capella,defunct,1852,1959,1850s,Spain,automobile manufacturer,Carrocerías Capella (in Castilian language)),Q25423612,http://www.wikidata.org/entity/Q25423612,,,,,
Ledoux Carriage,active,1852,,1850s,,automobile manufacturer,,Q28225622,http://www.wikidata.org/entity/Q28225622,,,,,
Q2690859,defunct,1852,,1850s,Russian Empire,automobile manufacturer,,Q2690859,http://www.wikidata.org/entity/Q2690859,,,,,
Sautter-Harlé,defunct,1852,1963,1850s,France,automobile manufacturer,Sautter & Lemonnier,Q1248636,http://www.wikidata.org/entity/Q1248636,,,,,
Studebaker,defunct,1852,1968,1850s,United States,automobile manufacturer,,Q938876,http://www.wikidata.org/entity/Q938876,,Studebaker.svg,https://commons.wikimedia.org/wiki/File:Studebaker.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Studebaker.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Studebaker.svg?width=128
Ansaldo,defunct,1853,1993,1850s,Italy,automobile manufacturer,Ansaldo Trasporti;Gio. Ansaldo & C.,Q290188,http://www.wikidata.org/entity/Q290188,,Emblem Ansaldo.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Ansaldo.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Ansaldo.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Ansaldo.JPG?width=128
Ignatz Schustala & Comp,defunct,1853,1891,1850s,,automobile manufacturer,,Q66759008,http://www.wikidata.org/entity/Q66759008,,,,,
Q124884158,active,1853,,1850s,Russia,automobile manufacturer,,Q124884158,http://www.wikidata.org/entity/Q124884158,,,,,
Saurer,defunct,1853,1982,1850s,Switzerland,automobile manufacturer,"AG Adolph Saurer (Arbon);Saurer AG, Adolph;Aktiengesellschaft Adolph Saurer;Oesterreichische Saurer-Werke AG.",Q365515,http://www.wikidata.org/entity/Q365515,http://www.saurer.com,,,,
Nagant,defunct,1855,1931,1850s,,automobile manufacturer,,Q423317,http://www.wikidata.org/entity/Q423317,,Nagant Liege (6293667463).jpg,https://commons.wikimedia.org/wiki/File:Nagant_Liege_%286293667463%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Nagant_Liege_%286293667463%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Nagant_Liege_%286293667463%29.jpg?width=128
