ALBUM                                    photos  agree  wrong   dup unmtch  colls  anchor
Moodboard 2017                             1882      3    582   510    787      0  1983 GMC K2500 Sierra Classi (d6a01df2)
1983 GMC K2500 BLUE                        1461     31    274  1032    124      0  1983 GMC K2500 Sierra Classi (d6a01df2)
2022                                       1351     43    454   409    445      0  1983 GMC K2500 Sierra Classi (a90c008a)
1973 Dodge charger 360                     1295    215     58   955     67      0  1973 Dodge Charger 360 (043c6d8b)
1977 K5 Chevrolet Blazer                   1133     22    415   562    134      0  1983 GMC K2500 Sierra Classi (a90c008a)
1973 Dodge Charger                          951     63     57   777     54      0  1973 Dodge Charger 360 (043c6d8b)
1966 Ford Mustang Cpe Blk                   674    251     25   368     30      0  1966 Ford Mustang (83f6f033)
1932 Ford Roadster                          615    159     33   330     93      0  1932 Ford Hot Rod Roadster (21ee373f)
2021                                        578     20    185   166    207      0  1983 GMC K2500 Sierra Classi (a90c008a)
1983 GMC K2500 LWB                          483    180     23   225     55      0  1983 GMC K2500 High Sierra (5a1deb95)
1972 K10 Chevrolet SWB                      457    141     67   123    126      0  1972 Chevrolet K10 SWB (e8a9c558)
1984 Chevrolet K20 LWB                      434     28    170    76    160      0  1966 Ford Mustang (83f6f033)
1997 Lexus LX450                            411    191     17   187     16      0  1997 Lexus LX450 450 VX Limi (4ecc1fa5)
1995 Chevrolet 2500 Suburban                405    148     10   229     18      0  1995 Chevrolet Suburban 2500 (1db5daca)
selection made in 2022                      395     13    125    95    162      0  1983 GMC K2500 Sierra Classi (a90c008a)
1971 Ford Bronco Coyote                     394    233     20   112     29      0  1971 Ford Bronco (c6189023)
1974 bronco 351 Windsor                     332    183     12    97     40      0  1974 Ford Bronco 351w (710dc2a3)
1971 Ford Bronco 302                        327    162      0   157      8      0  1971 Ford Bronco (95fbb5c3)
1985 Chevrolet K20 LWB                      285     60      5   218      2      0  1985 Chevrolet K20 (a69aab8c)
1988 Chevrolet V3500                        275     18    103    77     77      0  1983 GMC K2500 Sierra Classi (a90c008a)
1987 Chevrolet V3500 Dually                 275    151      2   112     10      0  1987 Chevrolet V3500 Dually (b5a24e45)
1968 Porsche 911                            266    108     31    35     92      0  1968 Porsche 911 (b987278a)
1988 GMC V15 Suburban                       254     26     77    51    100      0  1966 Ford Mustang (83f6f033)
alum need to be painted spring 2022         227     14     52    30    131      0  1968 Chevrolet C-10 (ac070808)
1974 K5 Chevrolet Blazer                    204     83      1   120      0      0  1974 Chevrolet K5 Blazer (fc359eb0)
1979 Chevrolet K10 SWB Brown                196     84      2   109      1      0  1979 Chevrolet K10 (afcfef94)
1978 K20 Chevrolet LWB                      188     51     31    73     33      0  1978 Chevrolet K20 LWB (d5ec0923)
1973 K5 GMC  jimmy                          126     30      3    92      1      0  1973 GMC Jimmy (50dd2f1a)
2024 selection                              122     19      9    49     45      0  1987 Chevrolet V3500 Dually (b5a24e45)
1987 GMC V15 Suburban                       117     35      0    80      2      0  1987 GMC Suburban (b1fd848d)
1980 Chevrolet K30 Crew Cab                 111     69      2    38      2      0  1980 Chevrolet K30 Crew Cab (f6e64a4f)
1976 C20 Chevrolet LWB                      110     73      1    34      2      0  1976 Chevrolet C20 (7c1f5fda)
2005 Ferrari 360 spider                     108     29      0    79      0      0  2005 Ferrari 360 Spider (1511336a)
1980 Chevrolet C10 LWB                      100     42      0    58      0      0  1980 Chevrolet C10 (06d4eb9b)
1972 Chevrolet K10 LWB                       90     12     11    60      7      0  1972 Chevrolet K10 LWB (a8c62a6d)
1965 Chevrolet corvette                      68      6     17    36      9      0  1973 GMC Jimmy (50dd2f1a)
1985 Chevrolet K10 SWB                       63      3      5    55      0      0  1985 Chevrolet K10 (a84273ab)
1964 Chevrolet C20 LWB                       56      6      7    27     16      0  1983 GMC K2500 Sierra Classi (d6a01df2)
1985 Chevrolet K10 SWB Brad                  54      0      0    54      0      0  1985 Chevrolet K10 SWB (2e60f268)
1967 GTO Pontiac                             52      1     19    31      1      0  1983 GMC K2500 Sierra Classi (a90c008a)
1984 Chevrolet K10 SWB                       52      5     18     8     21      0  1984 Chevrolet K10 (d47d1c55)
1987 GMC V15 LWB                             49     23      1    17      8      0  1987 GMC V15 LWB (e0bcd7fe)
1968 Chevrolet C10 LWB                       45      0     10    14     21      0  1983 GMC K2500 Sierra Classi (a90c008a)
1966 Chevrolet C10 SWB                       44     18      2    20      4      0  1966 Chevrolet C10 (48875fce)
1968 C10 Chevrolet LWB                       43     21      1    12      9      0  1968 Chevrolet C10 (9d50d8a5)
1979 GMC K15 SWB White                       42     15      0    27      0      0  1979 GMC K15 SWB (a621f67e)
1971 Chevrolet C10 SWB 402                   38      0     16    22      0      0  1983 GMC K2500 Sierra Classi (d6a01df2)
1964 Jaguar convertible 4.2 xke              38     31      0     4      3      0  1964 Jaguar XKE 4.2 (16387b47)
1972 k5 blazer                               36     16      7     5      8      0  1972 Chevrolet K5 Blazer (f5c6174d)
1989 jimmy k5                                34     22      0    12      0      0  1989 GMC jimmy k5 (2789fa29)
1971 Chevrolet C10 LWB 396                   32     32      0     0      0      0  1971 Chevrolet C10 (e5c66393)
1977 Chevrolet K10 SWB                       27      0      1    26      0      0  1977 Chevrolet K10 SWB Scott (80e04dd6)
1982 GMC K2500 LWB                           27     12      2    13      0      0  1982 GMC K2500 LWB (46502e12)
1985 Chevrolet k10 Suburban                  25     18      0     7      0      0  1985 Chevrolet Suburban Silv (b5a0c58a)
1971 K15 GMC Suburban                        22      0      8    12      2      0  1983 GMC K2500 Sierra Classi (a90c008a)
1968 Ford Mustang  FB blk                    17     12      4     1      0      0  1968 Ford Mustang (5dbbb59a)
1970 roadrunner 4SALE                        17      0      4     4      9      0  1983 GMC K2500 Sierra Classi (d6a01df2)
1969 Chevrolet c10 lwb                       15      7      0     0      8      0  1969 Chevrolet C10 (1fe01b00)
1972 GMC C30 longhorn                        14      8      1     2      3      0  1972 GMC C30 Longhorn (8cb16949)
1973 K20 Chevrolet LWB                       14      9      5     0      0      0  1973 Chevrolet K20 Cheyenne (ef844607)
1973 Pontiac Firebird                        13      4      0     9      0      0  1973 Pontiac Firebird (2d99d294)
1967 Chevrolet C10 LWB                       12      2      3     1      6      0  1973 Dodge Charger 360 (043c6d8b)
1967 Chevrolet C10 SWB                        9      8      0     1      0      0  1967 Chevrolet C10 SWB (0ec2c1ef)
1967 Porsche 912                              8      6      0     1      1      0  1967 Porsche 912 (ab3f91b3)
1988 GMC V3500                                7      1      0     4      2      0  1988 Chevrolet V3500 (c3819d9c)
1973 Chevrolet K20 LWB                        6      2      0     4      0      0  1973 Chevrolet K20 Cheyenne (ef844607)
1967 Chevrolet c10 swb                        6      4      0     0      2      0  1967 Chevrolet C10 SWB (0ec2c1ef)
1981 DMC Delorean                             5      5      0     0      0      0  1981 DeLorean DMC-12 (86266ebb)
1978 Chevrolet K20 LWB Blue                   4      4      0     0      0      0  1978 Chevrolet K20 LWB (d5ec0923)
art 2025                                      3      1      0     1      1      0  1972 Chevrolet K10 SWB (e8a9c558)
1963 shovel head                              3      3      0     0      0      0  1963 Harley-Davidson Shovelh (d45c3f01)
1970 Mercedes 280SL                           3      2      0     1      0      0  1970 Mercedes Benz 280 Sl (acef5364)
1959 Chevrolet 3100 SWB                       2      2      0     0      0      0  1959 Chevrolet 3100 SWB (319c8829)
1973 C30 Chevrolet LWB                        2      1      0     1      0      0  1973 Chevrolet C30 (ca42fb87)
1979 Chevrolet Big10 Justin                   1      0      0     1      0      0  1979 Chevrolet Silverado C10 (4470c7b9)
1987 Nissan maxima                            1      0      0     1      0      0  1987 Nissan Maxima (10020b70)
1979 gmc sierra k1500                         1      1      0     0      0      0  1979 GMC K15 SWB (a621f67e)
2004 ford f350                                1      1      0     0      0      0  2004 Ford F-350 (350bfdcb)
1966 ford mustang yellow                      1      1      0     0      0      0  1966 Ford Mustang (8bde1dda)

GLOBAL: agree=3303 wrong=2988 dup-cross-vehicle=8159 unmatched=3194 collisions=0
fork queue -> /tmp/k5-audit/fork-queue.csv ; dup queue -> /tmp/k5-audit/dup-queue.csv
