
ALBUM                                      in-lib  in-db  agree  wrong  ambig  dominant vehicle
1983 GMC K2500 BLUE                          1461   1337     37    158   1142  1997 Lexus LX450 450 VX Limite (4ecc1fa5)
1973 Dodge charger 360                       1295   1228    154     48   1026  1973 Dodge Charger 360 (043c6d8b)
Moodboard 2017                               1882   1095     58    490    547  1932 Ford Hot Rod Roadster (21ee373f)
1977 K5 Chevrolet Blazer                     1133    999    297     72    630  1977 Chevrolet Blazer Cheyenne (e08bf694)
2022                                         1351    906     66    358    482  1977 Chevrolet Blazer Cheyenne (e08bf694)
1973 Dodge Charger                            951    897     95     47    755  1973 Dodge Charger 360 (043c6d8b)
1966 Ford Mustang Cpe Blk                     674    644    147     18    479  1966 Ford Mustang (83f6f033)
1932 Ford Roadster                            615    522    159     32    331  1932 Ford Hot Rod Roadster (21ee373f)
1983 GMC K2500 LWB                            483    428    180     23    225  1983 GMC K2500 High Sierra (5a1deb95)
1997 Lexus LX450                              411    395    191     11    193  1997 Lexus LX450 450 VX Limite (4ecc1fa5)
1995 Chevrolet 2500 Suburban                  405    387    148      5    234  1995 Chevrolet Suburban 2500 (1db5daca)
2021                                          578    371     27    156    188  1997 Lexus LX450 450 VX Limite (4ecc1fa5)
1971 Ford Bronco Coyote                       394    365    233     15    117  1971 Ford Bronco (c6189023)
1972 K10 Chevrolet SWB                        457    331    120     62    149  1972 Chevrolet K10 SWB (e8a9c558)
1971 Ford Bronco 302                          327    319    194      1    124  1971 Ford Bronco (95fbb5c3)
1974 bronco 351 Windsor                       332    292    184     12     96  1974 Ford Bronco 351w (710dc2a3)
1985 Chevrolet K20 LWB                        285    283     60      3    220  1985 Chevrolet K20 (a69aab8c)
1984 Chevrolet K20 LWB                        434    274     27    157     90  1966 Ford Mustang (83f6f033)
1987 Chevrolet V3500 Dually                   275    265    151      2    112  1987 Chevrolet V3500 Dually (b5a24e45)
selection made in 2022                        395    233     26     94    113  1997 Lexus LX450 450 VX Limite (4ecc1fa5)
1974 K5 Chevrolet Blazer                      204    204     83      1    120  1974 Chevrolet K5 Blazer (fc359eb0)
1988 Chevrolet V3500                          275    198     29     61    108  1987 Chevrolet V3500 Dually (b5a24e45)
1979 Chevrolet K10 SWB Brown                  196    195     84      2    109  1979 Chevrolet K10 (afcfef94)
1968 Porsche 911                              266    174    108     29     37  1968 Porsche 911 (b987278a)
1978 K20 Chevrolet LWB                        188    155     51     24     80  1978 Chevrolet K20 LWB (d5ec0923)
1988 GMC V15 Suburban                         254    154     26     76     52  1966 Ford Mustang (83f6f033)
1973 K5 GMC  jimmy                            126    125      3      2    120  1977 Chevrolet Blazer Cheyenne (e08bf694)
1987 GMC V15 Suburban                         117    115     35      0     80  1987 GMC Suburban (b1fd848d)
1980 Chevrolet K30 Crew Cab                   111    109     69      2     38  1980 Chevrolet K30 Crew Cab (f6e64a4f)
1976 C20 Chevrolet LWB                        110    108     73      1     34  1976 Chevrolet C20 (7c1f5fda)
2005 Ferrari 360 spider                       108    108     29      0     79  2005 Ferrari 360 Spider (1511336a)
1980 Chevrolet C10 LWB                        100    100     42      0     58  1980 Chevrolet C10 (06d4eb9b)
alum need to be painted spring 2022           227     96     14     46     36  1968 Chevrolet C-10 (ac070808)
1972 Chevrolet K10 LWB                         90     83     12     10     61  1972 Chevrolet K10 LWB (a8c62a6d)
2024 selection                                122     77     19      9     49  1987 Chevrolet V3500 Dually (b5a24e45)
1985 Chevrolet K10 SWB                         63     63      4      8     51  1985 Chevrolet K10 SWB (2e60f268)
1965 Chevrolet corvette                        68     59      6      6     47  2005 Ferrari 360 Spider (1511336a)
1985 Chevrolet K10 SWB Brad                    54     54      4      0     50  1985 Chevrolet K10 SWB (2e60f268)
1967 GTO Pontiac                               52     51     15      4     32  1967 Pontiac GTO (cf566074)
1979 GMC K15 SWB White                         42     42     15      0     27  1979 GMC K15 SWB (a621f67e)
1987 GMC V15 LWB                               49     41     23      1     17  1987 GMC V15 LWB (e0bcd7fe)
1964 Chevrolet C20 LWB                         56     40      6      6     28  1983 GMC K2500 Sierra Classic (d6a01df2)
1966 Chevrolet C10 SWB                         44     40     18      2     20  1966 Chevrolet C10 (48875fce)
1971 Chevrolet C10 SWB 402                     38     38     16      0     22  1971 Chevrolet C10 SWB 402 (2cb63055)
1964 Jaguar convertible 4.2 xke                38     35     31      0      4  1964 Jaguar XKE 4.2 (16387b47)
1968 C10 Chevrolet LWB                         43     34     21      0     13  1968 Chevrolet C10 (9d50d8a5)
1989 jimmy k5                                  34     34     22      0     12  1989 GMC jimmy k5 (2789fa29)
1971 Chevrolet C10 LWB 396                     32     32     32      0      0  1971 Chevrolet C10 (e5c66393)
1984 Chevrolet K10 SWB                         52     31     11     11      9  1977 Chevrolet Blazer Cheyenne (e08bf694)
1972 k5 blazer                                 36     28     16      7      5  1972 Chevrolet K5 Blazer (f5c6174d)
1977 Chevrolet K10 SWB                         27     27      1      0     26  1971 Ford Bronco (c6189023)
1982 GMC K2500 LWB                             27     27     12      2     13  1982 GMC K2500 LWB (46502e12)
1985 Chevrolet k10 Suburban                    25     25     18      0      7  1985 Chevrolet Suburban Silver (b5a0c58a)
1968 Chevrolet C10 LWB                         45     24      4      6     14  1987 Chevrolet V3500 Dually (b5a24e45)
1971 K15 GMC Suburban                          22     20      8      0     12  1971 GMC K15 Suburban (f375f605)
1968 Ford Mustang  FB blk                      17     17     12      4      1  1968 Ford Mustang (5dbbb59a)
1973 K20 Chevrolet LWB                         14     14      9      5      0  1973 Chevrolet K20 Cheyenne (ef844607)
1973 Pontiac Firebird                          13     13      4      0      9  1973 Pontiac Firebird (2d99d294)
1972 GMC C30 longhorn                          14     11      8      1      2  1972 GMC C30 Longhorn (8cb16949)
1967 Chevrolet C10 SWB                          9      9      8      0      1  1967 Chevrolet C10 SWB (0ec2c1ef)
1970 roadrunner 4SALE                          17      8      4      0      4  1968 Chevrolet C-10 (ac070808)
1969 Chevrolet c10 lwb                         15      7      7      0      0  1969 Chevrolet C10 (1fe01b00)
1967 Porsche 912                                8      7      6      0      1  1967 Porsche 912 (ab3f91b3)
1967 Chevrolet C10 LWB                         12      6      3      0      3  1977 Chevrolet Blazer Cheyenne (e08bf694)
1973 Chevrolet K20 LWB                          6      6      2      0      4  1973 Chevrolet K20 Cheyenne (ef844607)
1988 GMC V3500                                  7      5      1      0      4  1988 Chevrolet V3500 (c3819d9c)
1981 DMC Delorean                               5      5      5      0      0  1981 DeLorean DMC-12 (86266ebb)
1978 Chevrolet K20 LWB Blue                     4      4      4      0      0  1978 Chevrolet K20 LWB (d5ec0923)
1967 Chevrolet c10 swb                          6      4      4      0      0  1967 Chevrolet C10 SWB (0ec2c1ef)
1963 shovel head                                3      3      3      0      0  1963 Harley-Davidson Shovelhea (d45c3f01)
1970 Mercedes 280SL                             3      3      2      0      1  1970 Mercedes Benz 280 Sl (acef5364)
art 2025                                        3      2      1      0      1  1972 Chevrolet K10 SWB (e8a9c558)
1959 Chevrolet 3100 SWB                         2      2      2      0      0  1959 Chevrolet 3100 SWB (319c8829)
1973 C30 Chevrolet LWB                          2      2      1      0      1  1973 Chevrolet C30 (ca42fb87)
1979 gmc sierra k1500                           1      1      1      0      0  1979 GMC K15 SWB (a621f67e)
2004 ford f350                                  1      1      1      0      0  2004 Ford F-350 (350bfdcb)
1966 ford mustang yellow                        1      1      1      0      0  1966 Ford Mustang (8bde1dda)

TOTALS: 14448 album-photo->db matches, 2090 cross-vehicle mismatches (14.5%) -> /tmp/k5-audit/mismatch-queue.csv
